Accession	Name	Description
ARO:3002660	APH(6)-Id	APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids, integrative conjugative elements and chromosomal genomic islands in K. pneumoniae, Salmonella spp., E. coli, Shigella flexneri, Providencia alcalifaciens, Pseudomonas spp., V. cholerae, Edwardsiella tarda, Pasteurella multocida and Aeromonas bestiarum
ARO:3002661	APH(7'')-Ia	APH(7'')-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in S. hygroscopicus
ARO:3002662	APH(9)-Ia	APH(9)-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in L. pneumophila
ARO:3002663	APH(9)-Ib	APH(9)-Ib is a chromosomal-encoded aminoglycoside phosphotransferase in S. flavopersicus
ARO:3002665	npmA	NpmA is a plasmid-mediated aminoglycoside-resistance 16S rRNA methyltransferase by interfering with aminoglycoside binding with the A site of 16S rRNA through N-1 methylation at position A1408.
ARO:3002666	rmtF	RmtF is a 16S rRNA methyltransferase found in Pseudomonas aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.
ARO:3002667	rmtD	RmtD is a 16S rRNA methyltransferase found in Pseudomonas aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.
ARO:3002668	rmtG	RmtG is a 16S rRNA methyltransferase found in Pseudomonas aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.
ARO:3002669	APH(2'')-Ig	APH('')-Ig is a plasmid-encoded aminoglycoside phosphotransferase in Campylobacter coli
ARO:3002670	cat	cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Bacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum
Morganella morganii, Photobacterium damselae subsp. piscicida, Proteus mirabilis, Salmonella typhi, Serratia marcescens, Shigella flexneri, Staphylococcus aureus, Staphylococcus haemolyticus, Staphylococcus intermedius, Streptococcus agalactiae, Streptococcus suis and Streptomyces acrimycini
ARO:3002671	cat-TC	cat-TC is a plasmid-encoded variant of the cat gene found in Lactobacillus reuteri
ARO:3002672	cat86	cat86 is a chromosome-encoded variant of the cat gene found in Bacillus pumilus
ARO:3002674	catB	catB is a chromosome-encoded variant of the cat gene found in Clostridium butyricum
ARO:3002675	catB2	catB2 is a plasmid-encoded variant of the cat gene found in Escherichia coli, Salmonella enteritidis and Pasteurella multocida
ARO:3002676	catB3	catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli
ARO:3002678	catB6	catB6 is a plasmid-encoded variant of the cat gene found in Pseudomonas aeruginosa
ARO:3002679	catB7	catB7 is a chromosome-encoded variant of the cat gene found in Pseudomonas aeruginosa
ARO:3002680	catB8	catB8 is a plasmid or integron-encoded variant of the cat gene found in Klebsiella pneumoniae, Salmonella typhi and Pseudomonas aeruginosa
ARO:3002681	catB9	catB9 is a chromosome-encoded variant of the cat gene found in Vibrio cholerae
ARO:3002682	catD	catD is a chromosome and transposon-encoded variant of the cat gene found in Clostridium difficile
ARO:3002683	catI	catI is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii
ARO:3002684	catII	catII is a plasmid-encoded variant of the cat gene found in Haemophilus influenzae, Agrobacterium tumefaciens and Escherichia coli
ARO:3002685	catIII	catIII is a plasmid-encoded variant of the cat gene found in Shigella flexneri
ARO:3002686	catP	catP is a transposon and chromosome-encoded variant of the cat gene found in Clostridium perfringens and Neisseria meningitidis
ARO:3002687	catQ	catQ is a chromosome-encoded variant of the cat gene found in Clostridium perfringens
ARO:3002688	catS	catS is a chromosome-encoded variant of the cat gene found in Streptococcus pyogenes
ARO:3002689	plasmid-encoded cat (pp-cat)	pp-cat is a plasmid-encoded variant of the cat gene found in Photobacterium damselae subsp. piscicida
ARO:3002690	Streptomyces lividans cmlR	cmlR is a plasmid or chromosome-encoded chloramphenicol resistance determinant (putative transmembrane protein) that is found in Escherichia coli and Streptomyces lividans
ARO:3002691	Salmonella enterica cmlA	cmlA is a plasmid-encoded chloramphenicol exporter that is found in Salmonella typhimurium
ARO:3002693	cmlA1	cmlA1 is a plasmid or transposon-encoded chloramphenicol exporter that is found in Pseudomonas aeruginosa and Klebsiella pneumoniae
ARO:3002694	cmlA4	cmlA4 is a plasmid-encoded chloramphenicol exporter that is found in Klebsiella pneumoniae
ARO:3002695	cmlA5	cmlA5 is a plasmid or transposon-encoded chloramphenicol exporter that is found in Escherichia coli
ARO:3002696	cmlA6	cmlA6 is a plasmid-encoded chloramphenicol exporter that is found in Pseudomonas aeruginosa
ARO:3002698	cmlB	cmlB is a plasmid-encoded chloramphenicol exporter that is found in Enterobacter aerogenes
ARO:3002699	cmlB1	cmlB1 is a plasmid-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica
ARO:3002700	cmlv	cmlv is a chromosome-encoded chloramphenicol phoshotransferase that is found in Streptomyces venezuelae
ARO:3002701	Rhodococcus fascians cmr	cmr is a plasmid-encoded chloramphenicol exporter that is found in Rhodococcus fascians and Corynebacterium glutamicum
ARO:3002702	cmrA	cmrA is a transposon-encoded chloramphenicol exporter that is found in Rhodococcus rhodochrous
ARO:3002703	cmx	cmx is a plasmid or transposon-encoded chloramphenicol exporter that is found in Corynebacterium striatum and Pseudomonas aeruginosa.
ARO:3002704	fexA	fexA is a plasmid-encoded chloramphenicol exporter that is found in Staphylococcus lentus
ARO:3002705	floR	floR is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica, Escherichia coli, Klebsiella pneumoniae,
Salmonella typhimurium DT104 and Vibrio cholerae
ARO:3002706	ethambutol resistant embC	Mycobacterium tuberculosis embC mutations at codon 270 confer resistance to ethambutol.
ARO:3002707	QnrA1	QnrA1 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae
ARO:3002708	QnrA2	QnrA2 is a plasmid-mediated quinolone resistance protein found in Klebsiella oxytoca
ARO:3002709	QnrA3	QnrA3 is a plasmid-mediated quinolone resistance protein found in Shewanella algae
ARO:3002710	QnrA4	QnrA4 is a plasmid-mediated quinolone resistance protein found in Shewanella algae
ARO:3002711	QnrA5	QnrA5 is a plasmid-mediated quinolone resistance protein found in Shewanella algae
ARO:3002712	QnrA6	QnrA6 is a plasmid-mediated quinolone resistance protein found in Proteus mirabilis
ARO:3002713	QnrA7	QnrA7 is a plasmid-mediated quinolone resistance protein found in Shewanella algae
ARO:3002714	QnrB1	QnrB1 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae
ARO:3002715	QnrB2	QnrB2 is a plasmid-mediated quinolone resistance protein found in Citrobacter koseri
ARO:3002716	QnrB3	QnrB3 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002718	QnrB4	QnrB4 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002719	QnrB5	QnrB5 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica
ARO:3002720	QnrB6	QnrB6 is a plasmid-mediated quinolone resistance protein found in Pantoea agglomerans
ARO:3002721	QnrB7	QnrB7 is a plasmid-mediated quinolone resistance protein found in Enterobacter cloacae
ARO:3002722	QnrB8	QnrB8 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002723	QnrB9	QnrB9 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002724	QnrB10	QnrB10 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002725	QnrB11	QnrB11 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002726	QnrB12	QnrB12  is a plasmid-mediated quinolone resistance protein found in Citrobacter werkmanii
ARO:3002727	QnrB13	QnrB13 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002728	QnrB14	QnrB14 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002730	QnrB15	QnrB15 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002731	QnrB16	QnrB16 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002732	QnrB17	QnrB17 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002733	QnrB18	QnrB18 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002734	QnrB19	QnrB19 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002735	QnrB20	QnrB20 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002736	QnrB21	QnrB21 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002737	QnrB22	QnrB22 is a plasmid-mediated quinolone resistance protein found in Citrobacter werkmanii
ARO:3002738	QnrB23	QnrB23 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002739	QnrB24	QnrB24 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002740	QnrB25	QnrB25 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002741	QnrB26	QnrB26 is a plasmid-mediated quinolone resistance protein found in Proteus vulgaris
ARO:3002742	QnrB27	QnrB27 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002743	QnrB28	QnrB28 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002744	QnrB29	QnrB29 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002745	QnrB30	QnrB30 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002746	QnrB31	QnrB31 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae
ARO:3002747	QnrB32	QnrB32 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002748	QnrB33	QnrB33 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002749	QnrB34	QnrB34 is a plasmid-mediated quinolone resistance protein found in Citrobacter werkmanii
ARO:3002750	QnrB35	QnrB35 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002751	QnrB36	QnrB36 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002752	QnrB37	QnrB37 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002753	QnrB38	QnrB38 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002754	QnrB39	QnrB39 is a chromosome-mediated quinolone resistance protein found in Citrobacter youngae
ARO:3002755	QnrB40	QnrB40 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002756	QnrB41	QnrB41 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002757	QnrB42	QnrB42 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae
ARO:3002758	QnrB43	QnrB43 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002759	QnrB44	QnrB44 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002760	QnrB45	QnrB45 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002761	QnrB46	QnrB46 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002762	QnrB47	QnrB47 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002763	QnrB48	QnrB48 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002764	QnrB49	QnrB49 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002765	QnrB50	QnrB50 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002767	QnrB54	QnrB54 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002768	QnrB55	QnrB55 is a plasmid-mediated quinolone resistance protein found in Raoultella terrigena
ARO:3002769	QnrB56	QnrB56 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002770	QnrB57	QnrB57 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002771	QnrB58	QnrB58 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002772	QnrB59	QnrB59 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002773	QnrB60	QnrB60 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002774	QnrB61	QnrB61 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002775	QnrB62	QnrB62 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002776	QnrB64	QnrB64 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002777	QnrB65	QnrB65 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002778	QnrB66	QnrB66 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002779	QnrB67	QnrB67 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002780	QnrB68	QnrB68 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002781	QnrB69	QnrB69 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002782	QnrB70	QnrB70 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002783	QnrB71	QnrB71 is a plasmid-mediated quinolone resistance protein found in Citrobacter braakii
ARO:3002784	QnrB72	QnrB72 is a plasmid-mediated quinolone resistance protein found in Citrobacter sp. TR21_24
ARO:3002785	QnrB73	QnrB73 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
ARO:3002786	QnrB74	QnrB74 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002787	QnrC	QnrC is a plasmid-mediated quinolone resistance protein found in Proteus mirabilis
ARO:3002788	QnrD1	QnrD1 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica
ARO:3002789	QnrD2	QnrD2 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica
ARO:3002790	QnrS1	QnrS1 is a plasmid-mediated quinolone resistance protein found in Shigella flexneri
ARO:3002791	QnrS2	QnrS2 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica
ARO:3002792	QnrS3	QnrS3 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002793	QnrS4	QnrS4 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica
ARO:3002794	QnrS5	QnrS5 is a plasmid-mediated quinolone resistance protein found in Aeromonas sobria
ARO:3002795	QnrS6	QnrS6 is a plasmid-mediated quinolone resistance protein found in Aeromonas hydrophila
ARO:3002796	QnrS7	QnrS7 is a plasmid-mediated quinolone resistance protein found in Escherichia coli
ARO:3002797	QnrS8	QnrS8 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae
ARO:3002798	QnrS9	QnrS9 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae
ARO:3002799	QnrVC1	QnrVC1 is an integron-mediated quinolone resistance protein found in Vibrio cholerae
ARO:3002800	QnrVC3	QnrVC3 is an integron-mediated quinolone resistance protein found in Vibrio cholerae
ARO:3002801	QnrVC4	QnrVC4 is an integron-mediated quinolone resistance protein found in Aeromonas punctata
ARO:3002802	QnrVC5	QnrVC5 is an integron-mediated quinolone resistance protein found in Vibrio fluvialis
ARO:3002803	QnrVC6	QnrVC6 is an integron-mediated quinolone resistance protein found in Acinetobacter baumannii
ARO:3002804	FosA2	An enzyme that confers resistance to fosfomycin in Enterobacter cloacae by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.
ARO:3002811	murA transferase	murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Overexpression of murA through mutations confers fosfomycin resistance.
ARO:3002812	pp-flo	pp-flo is a plasmid chloramphenicol exporter that is found in Photobacterium damselae subsp. piscicida
ARO:3002813	lmrB	lmrB is a chromosomally-encoded efflux pump that confers resistance to lincosamides in Bacillus subtilis
ARO:3002814	clbA	clbA is a plasmid-encoded cfr gene found in Bacillus velezensis (Bacillus amyloliquefaciens subsp. plantarum).
ARO:3002815	clbB	clbB is a plasmid-encoded cfr gene found in Bacillus brevis
ARO:3002816	clbC	clbC is a plasmid-encoded cfr gene found in Bacillus clausii
ARO:3002817	carA	carA is an ABC transporter involved in macrolide resistance. It is found in Streptomyces thermotolerans
ARO:3002818	msrB	MsrB is an ABC-efflux pump expressed to Staphylococcus species that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA.
ARO:3002819	msrC	msrC is a chromosomal-encoded ABC-efflux pump expressed in Enterococcus faecium that confers resistance to erythromycin and other macrolide and streptogramin B antibiotics.
ARO:3002823	ErmH	ErmH is a plasmid-mediated methyltransferase found in Streptomyces thermotolerans
ARO:3002824	ErmV	ErmV is a plasmid-mediated methyltransferase found in Streptomyces viridochromogenes
ARO:3002825	ErmY	ErmY is a plasmid-mediated methyltransferase found in Staphylococcus aureus
ARO:3002826	EreA2	EreA2 is an integron-encoded erythromycin esterase that hydrolyses the drug's lactone ring. EreA2 is found in Providencia stuartii
ARO:3002827	tlrC	tlrC is an efflux pump found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. tlrC is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide.
ARO:3002828	srmB	srmB is an efflux pump found in Streptomyces ambofaciens that confers resistance to spiramycin
ARO:3002829	vgaA	vgaA is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.
ARO:3002830	vgaALC	vgaALC is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.
ARO:3002831	vgaC	vgaC is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.
ARO:3002832	vgaD	vgaD is an efflux protein expressed in Enterococcus faecium that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.
ARO:3002833	vgaE	vgaE is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with transposon DNA.
ARO:3002835	lnuA	lnuA is a plasmid-mediated nucleotidyltransferase found in Staphylococcus chromogenes
ARO:3002836	lnuB	lnuB is a plasmid-mediated nucleotidyltransferase found in Streptococcus lutetiensis
ARO:3002837	lnuC	lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae
ARO:3002838	lnuD	lnuD is a plasmid-mediated nucleotidyltransferase found in Streptococcus uberis
ARO:3002839	lnuF	lnuF is an integron-mediated nucleotidyltransferase found in Escherichia coli
ARO:3002840	vatA	vatA is a plasmid-mediated acetyltransferase found in Staphylococcus aureus
ARO:3002841	vatB	vatB is a plasmid-mediated acetyltransferase found in Staphylococcus aureus
ARO:3002842	vatC	vatC is a plasmid-mediated acetyltransferase found in Staphylococcus cohnii
ARO:3002843	vatD	vatD is a transposon-mediated acetyltransferase found in Enterococcus faecium
ARO:3002844	vatE	vatE is a transposon-mediated acetyltransferase found in Enterococcus faecium
ARO:3002845	vatH	vatH is a plasmid-mediated acetyltransferase found in Enterococcus faecium
ARO:3002846	arr-1	arr-1 is a chromosome-encoded ribosyltransferase found in Mycobacterium smegmatis
ARO:3002847	arr-2	arr-2 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa
ARO:3002848	arr-3	arr-3 is a plasmid-encoded ribosyltransferase found in Vibrio fluvialis
ARO:3002849	arr-4	arr-4 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa
ARO:3002850	arr-5	arr-5 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa
ARO:3002852	arr-7	arr-7 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa
ARO:3002853	arr-8	arr-8 is an integron-encoded ribosyltransferase found in Klebsiella oxytoca
ARO:3002854	dfrA1	dfrA1 is an integron-encoded dihydrofolate reductase found in Escherichia coli
ARO:3002855	dfrA2d	dfrA2d is an integron-encoded dihydrofolate reductase found in Enterobacteriaceae
ARO:3002856	dfrA24	dfrA24 is an integron-encoded dihydrofolate reductase found in Escherichia coli
ARO:3002857	dfrA26	dfrA26 is an integron-encoded dihydrofolate reductase found in Escherichia coli
ARO:3002858	dfrA12	dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae
ARO:3002859	dfrA14	dfrA14 is an integron-encoded dihydrofolate reductase found in Escherichia coli
ARO:3002860	dfrA17	dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli
ARO:3002861	dfrA5	dfrA5 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae
ARO:3002862	dfrA7	dfrA7 is an integron-encoded dihydrofolate reductase found in Escherichia coli
ARO:3002863	dfrA8	dfrA8 is a transposon-encoded dihydrofolate reductase found in Salmonella enterica
ARO:3002864	dfrB1	dfrB1 is an integron-encoded dihydrofolate reductase found in Pseudomonas aeruginosa
ARO:3002865	dfrC	dfrC is a chromosome-encoded dihydrofolate reductase found in Staphylococcus aureus
ARO:3002866	dfrD	dfrD is a plasmid-encoded dihydrofolate reductase found in Listeria monocytogenes
ARO:3002867	dfrF	dfrF is a chromosome-encoded dihydrofolate reductase found in Streptococcus pyogenes
ARO:3002868	dfrG	dfrG is a plasmid-encoded dihydrofolate reductase found in Staphylococcus aureus
ARO:3002869	dfrK	dfrK is a plasmid-encoded dihydrofolate reductase found in Staphylococcus aureus
ARO:3002870	tet34	tet34 causes the activation of Mg2+-dependent purine nucleotide synthesis, which protects the protein synthesis pathway. It is found in Gram-negative Vibrio
ARO:3002871	tet37	tet37 is a chromosome-encoded oxidoreductase isolated from an uncultured bacterium that confers resistance to tetracycline
ARO:3002872	FosA3	An enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.
ARO:3002873	FosB3	A thiol transferase that leads to the resistance of fosfomycin in Enterococcus faecium. Contrasting FosA, FosB is dependent on the cofactor Magnesium (II) and uses either bacillithiol to open up the epoxide ring of fosfomycin.
ARO:3002874	FosC2	FosC2 is an enzyme that phosphorylates fosfomycin to confer resistance in Escherichia coli
ARO:3002875	dfrE	dfrE is a chromosome-encoded dihydrofolate reductase found in Enterococcus faecalis
ARO:3002876	ethambutol resistant arabinosyltransferase	Arabinosyl transferases allow for the polymerization of arabinose to form arabinan. Arabinan is required for formation of mycobacterial cell walls and arabinosyltransferases are targets of the drug ethambutol. Mutations in these genes can confer resistance to ethambutol.
ARO:3002877	BcI	Bacillus cereus beta-lactamase I is a zinc metallo-beta-lactamase that hydrolyzes a large number of penicillins and cephalosporins in the Bacillus cereus strain 569/H/9
ARO:3002878	BcII	Bacillus cereus beta-lactamase II is a zinc metallo-beta-lactamase that hydrolyzes a large number of penicillins and cephalosporins in the Bacillus cereus strain 5/B/6
ARO:3002879	linG	linG is an integron-associated gene cassette, with aadA2, encoding a lincosomide nucleotidyltransferase found in Salmonella enterica. linG confers resistance to lincosomide antibiotics.
ARO:3002881	lmrC	lmrC is a chromosomally-encoded efflux pump that confers resistance to lincosamides in Streptomyces lincolnensis and Lactococcus lactis. It can dimerize with lmrD
ARO:3002882	lmrD	lmrD is a chromosomally-encoded efflux pump that confers resistance to lincosamides in Streptomyces lincolnensis and Lactococcus lactis. It can dimerize with lmrC
ARO:3002883	rgt1438	rgt1438 is a glycosyltransferase that confers rifampin resistance in Streptomyces
ARO:3002884	iri	iri is a monooxygenase that confers resistance to rifampin found in Rhodococcus equi
ARO:3002891	otr(A)	otr(A) is an oxytetracycline resistance ribosomal protection protein found in Streptomyces rimosus
ARO:3002892	otr(B)	otr(B) is a tetracycline resistance efflux pump found in Streptomyces rimosus
ARO:3002893	tcr3	tcr3 is a tetracycline efflux pump that confers self-resistance to Streptomyces aureofaciens
ARO:3002894	otrC	otrC is a tetracycline resistance efflux pump found in Streptomyces rimosus
ARO:3002895	SAT-2	SAT-2 is a plasmid-mediated streptothricin acetyltransferase, which confers resistance to streptothricin, a nucleoside antibiotic. Originally described from an E. coli plasmid sequence by Heim et al., 1989.
ARO:3002897	SAT-4	SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al, 1994.
ARO:3002898	SAT-3	SAT-3 is a plasmid-mediated streptothricin acetyltransferase and streptothricin resistance determinant. Originally described from an E. coli plasmid gene by Tietze and Brevet, 1995.
ARO:3002905	VanS-VanR two-component regulatory system	van genes that are involved in activating and regulating transcription of gene clusters
ARO:3002906	van ligase	van ligases synthesize alternative substrates for peptidoglycan synthesis that reduce vancomycin binding affinity.
ARO:3002907	vanE	VanE is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecalis
ARO:3002908	vanF	VanF is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance in Paenibacillus popilliae
ARO:3002909	vanG	VanG is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecalis
ARO:3002910	vanL	VanL is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecalis
ARO:3002911	vanM	VanM is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.
ARO:3002912	vanN	VanN is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity in Enterococcus faecium
ARO:3002913	vanO	VanO is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.
ARO:3002914	vanJ	vanJ is a novel membrane protein that confers resistance to teicoplanin and its derivatives in Streptomyces coelicolor by recycling undecaprenol pyrophosphate during cell wall biosynthesis.
ARO:3002915	vanK	VanK is a member of the Fem family of enzymes that add the cross-bridge amino acids to the stem pentapeptide of cell wall precursors in Streptomyces coelicolor that confers inducible, high-level vancomycin resistance
ARO:3002916	vanV	vanV is an accessory protein of van operons, first identified in the vanB operon. It is not required for vancomycin resistance.
ARO:3002917	glycopeptide resistance gene cluster VanN	Homologous to vanC, contains a D-Ala-D-Ser ligase. The plasmid-located vanM gene cluster is inducible and confers low resistance to vancomycin. vanN organisms remain susceptible to teicoplanin. Gene orientation: N(XY)TRS
ARO:3002918	glycopeptide resistance gene cluster VanO	Homologous to vanA, contains a D-Ala-D-Lac ligase. The chromosome-located vanO gene cluster is inducible. Not much is known about the biochemistry about the vanO gene cluster. Gene orientation: orf1 RS orf2 HOX
ARO:3002919	vanRA	vanRA, also known as vanR, is a vanR variant found in the vanA gene cluster
ARO:3002921	vanRB	vanRB is a vanR variant found in the vanB gene cluster
ARO:3002922	vanRC	vanRC is a vanR variant found in the vanC gene cluster
ARO:3002923	vanRD	vanRD is a mutated vanR variant found in the vanD gene cluster that caused constitutive expression of vanD peptidoglycan synthesis
ARO:3002924	vanRE	vanRE is a vanR variant found in the vanE gene cluster
ARO:3002925	vanRF	vanRF is a vanR variant found in the vanF gene cluster
ARO:3002926	vanRG	vanRG is a vanR variant found in the vanG gene cluster
ARO:3002927	vanRL	vanRL is a vanR variant found in the vanL gene cluster
